iter	MultiClass
0	0.92109259
1	0.7834238037
2	0.6822310992
3	0.5968382748
4	0.5259940102
5	0.4628011601
6	0.4091741487
7	0.364460624
8	0.3263506948
9	0.2919149369
10	0.2619978166
11	0.236735424
12	0.2130942228
13	0.1918135216
14	0.1733491925
15	0.156709909
16	0.1417994212
17	0.1284550742
18	0.116754673
19	0.1061847635
20	0.09641581983
21	0.08773775437
22	0.08044685276
23	0.07389251194
24	0.06761493678
25	0.06198371659
26	0.05674174898
27	0.05215832595
28	0.0482345092
29	0.04439792686
30	0.04092006478
31	0.03766094055
32	0.03495132182
33	0.0324263377
34	0.03002894617
35	0.02786258294
36	0.02605775124
37	0.02444098734
38	0.02302448015
39	0.02235362843
40	0.02079135192
41	0.01950899175
42	0.01831392176
43	0.01769375956
44	0.01728216333
45	0.01694409686
46	0.01664425731
47	0.01557283228
48	0.0153307981
49	0.01432549542
50	0.01343727456
51	0.01325536328
52	0.01243117301
53	0.0122867992
54	0.01151698923
55	0.01088770217
56	0.01072147716
57	0.01044830052
58	0.00987811014
59	0.009789054628
60	0.009281353928
61	0.008843429356
62	0.00876876543
63	0.00831102623
64	0.007952698155
65	0.007896336155
66	0.007848111584
67	0.007807026772
68	0.007774198354
69	0.007636432102
70	0.007512540332
71	0.007207613803
72	0.00684931213
73	0.006823637229
74	0.006802198231
75	0.006785009159
76	0.00648476017
77	0.006469751055
78	0.006183741996
79	0.006168556867
80	0.0061567397
81	0.006140155422
82	0.006130535183
83	0.005834599749
84	0.005825922077
85	0.005818125651
86	0.00561264427
87	0.005593722198
88	0.005454935708
89	0.005445889385
90	0.005440199386
91	0.005435253233
92	0.005430621563
93	0.005427622983
94	0.005421393743
95	0.005418023643
96	0.00541512712
97	0.00541251406
98	0.005410200326
99	0.005407977572
100	0.005182168748
101	0.005169696938
102	0.005151946068
103	0.005150522107
104	0.005148537449
105	0.005132383199
106	0.004920161945
107	0.004918657876
108	0.004916514367
109	0.00490747283
110	0.004901536203
111	0.004696497719
112	0.004694946609
113	0.004692996297
114	0.004520702287
115	0.004518263594
116	0.004355813087
117	0.004347964897
118	0.00418798828
119	0.004184515065
120	0.00417506698
121	0.004172557353
122	0.004170527442
123	0.004169228585
124	0.004050790113
125	0.004048779171
126	0.003914225675
127	0.003912526241
128	0.003785862647
129	0.003782533019
130	0.003763773998
131	0.003761670783
132	0.003646629698
133	0.003644314314
134	0.003641704222
135	0.003639809598
136	0.003638300334
137	0.003631978117
138	0.003630540161
139	0.003535604167
140	0.003533929024
141	0.003526421147
142	0.003420507383
143	0.003409126207
144	0.003407498738
145	0.003405965585
146	0.003401149431
147	0.003396930046
148	0.003395887473
149	0.003395340515
150	0.003394404088
151	0.003393518229
152	0.003392703655
153	0.003391280707
154	0.003292290859
155	0.00322256481
156	0.003221599828
157	0.003220563094
158	0.003208945126
159	0.003208058978
160	0.003204748433
161	0.003204084883
162	0.003203440904
163	0.00319420328
164	0.003193948155
165	0.003123986686
166	0.003115873206
167	0.003115298846
168	0.003111978797
169	0.00311092744
170	0.003102472375
171	0.003019285028
172	0.00301818378
173	0.002952959474
174	0.002937802384
175	0.00293706121
176	0.002933891021
177	0.002839272817
178	0.00283787971
179	0.002836684538
180	0.002770251432
181	0.002767073585
182	0.002683494616
183	0.002602699286
184	0.002600840005
185	0.002599831648
186	0.002526916167
187	0.002523930108
188	0.002522941993
189	0.002520513731
190	0.002459092585
191	0.002400950393
192	0.00239861762
193	0.002397609611
194	0.00239599978
195	0.002371440591
196	0.002298804803
197	0.002297843074
198	0.002294817729
199	0.00229320994
200	0.002289239875
201	0.002287312921
202	0.002286566538
203	0.002277876176
204	0.002227010649
205	0.002225566551
206	0.002220165315
207	0.00221394049
208	0.002196078974
209	0.002194612375
210	0.002194194049
211	0.002191616612
212	0.002144863424
213	0.002143493848
214	0.00214025392
215	0.002139804057
216	0.00211574483
217	0.002115284249
218	0.002110283266
219	0.002109910893
220	0.002109566635
221	0.002105616432
222	0.002104979548
223	0.002103994912
224	0.002103719406
225	0.002103472345
226	0.002103238926
227	0.002102987411
228	0.002102513709
229	0.002098584669
230	0.002098138438
231	0.002097948474
232	0.002089394854
233	0.002080968009
234	0.002080760712
235	0.002080561351
236	0.002037202381
237	0.00203452789
238	0.0020341324
239	0.002033985388
240	0.002033886177
241	0.001980957364
242	0.001980832501
243	0.001980241449
244	0.001979987013
245	0.001979746602
246	0.001978794532
247	0.001978714424
248	0.001977214019
249	0.001976491158
250	0.001975013141
251	0.001974842636
252	0.001974250008
253	0.001934787523
254	0.001934613756
255	0.001933901566
256	0.001933731701
257	0.00193302822
258	0.001932857409
259	0.001912754596
260	0.001912592234
261	0.001861395693
262	0.001831171706
263	0.001791592583
264	0.001763949422
265	0.001735310005
266	0.001734379716
267	0.001727284548
268	0.001695152182
269	0.001692498052
270	0.001692080833
271	0.001691719461
272	0.00169088863
273	0.001690515871
274	0.00168813543
275	0.001663609072
276	0.001661433352
277	0.001660747121
278	0.001660176676
279	0.001657771505
280	0.001657563416
281	0.001657368885
282	0.001657191771
283	0.001657022446
284	0.001632642825
285	0.001632441051
286	0.001631984535
287	0.0016318134
288	0.001631653025
289	0.001631509196
290	0.001631364482
291	0.001629744259
292	0.001629371845
293	0.001629042734
294	0.00162878734
295	0.001628443623
296	0.001628370237
297	0.001628095587
298	0.001595558298
299	0.001564840498
